No.,Chinese Name,Japanese Name,English Name,Description (Simplified),Description (Traditional),Common,Hidden
028,同步,シンクロ,Synchronize,将自己的中毒、麻痹或灼伤状态传染给对手。,將自己的中毒、麻痺或灼傷狀態傳染給對手。,18,0
029,恒净之躯,クリアボディ,Clear Body,不会因为对手的招式或特性而被降低能力。,不會因對手的招式或特性而被降低能力。,13,6
030,自然回复,しぜんかいふく,Natural Cure,回到同行队伍后，异常状态就会被治愈。,異常狀態會在離場後治癒。,18,1
031,避雷针,ひらいしん,Lightning Rod,将电属性的招式吸引到自己身上，不会受到伤害，而是会提高特攻。,將電屬性的招式吸引到自己身上，不但不會受到傷害，反而會提高特攻。,13,6
032,天恩,てんのめぐみ,Serene Grace,托天恩的福，招式的追加效果容易出现。,受到上天保佑，容易出現招式的追加效果。,11,2
033,悠游自如,すいすい,Swift Swim,下雨天气时，速度会提高。,天氣為下雨時，速度會提高。,33,12
034,叶绿素,ようりょくそ,Chlorophyll,晴朗天气时，速度会提高。,天氣為晴朗時，速度會提高。,32,6
035,发光,はっこう,Illuminate,通过让周围变亮来保持命中率不会被降低。,透過讓周圍變亮，命中率不會被降低。,8,0
036,复制,トレース,Trace,出场时，复制对手的特性，变为与之相同的特性。,出場時，複製對手的特性，變為與之相同的特性。,6,0
037,大力士,ちからもち,Huge Power,物理攻击的威力会变为２倍。,物理攻擊的威力會變為２倍。,4,2
038,毒刺,どくのトゲ,Poison Point,有时会让接触到自己的对手变为中毒状态。,有時會讓接觸到自己的對手陷入中毒狀態。,19,0
039,精神力,せいしんりょく,Inner Focus,拥有经过锻炼的精神，而不会因对手的攻击而畏缩。对威吓也毫不动摇。,靠著經過鍛鍊的精神，不會因對手的攻擊而畏縮。面對威嚇也不會動搖。,25,11
040,熔岩铠甲,マグマのよろい,Magma Armor,将炽热的熔岩覆盖在身上，不会变为冰冻状态。,將熾熱的熔岩覆蓋在身上，不會陷入冰凍狀態。,3,0
041,水幕,みずのベール,Water Veil,将水幕裹在身上，不会变为灼伤状态。,將水幕裹在身上，不會陷入灼傷狀態。,5,8
042,磁力,じりょく,Magnet Pull,用磁力吸住钢属性的宝可梦，使其无法逃走。,用磁力吸住鋼屬性的寶可夢，使其無法逃走。,9,0
043,隔音,ぼうおん,Soundproof,通过屏蔽声音，不受到声音招式的影响。,透過遮蔽聲音，不受到聲音招式的攻擊。,10,5
044,雨盘,あめうけざら,Rain Dish,下雨天气时，会缓缓回复ＨＰ。,天氣為下雨時，會漸漸回復ＨＰ。,3,10
045,扬沙,すなおこし,Sand Stream,出场时，会把天气变为沙暴。,出場時，會把天氣變為沙暴。,5,0
046,压迫感,プレッシャー,Pressure,给予对手压迫感，大量减少其使用招式的ＰＰ。,給予對手壓迫感，大量減少其使用招式的ＰＰ。,24,5
047,厚脂肪,あついしぼう,Thick Fat,因为被厚厚的脂肪保护着，会让火属性和冰属性的招式伤害减半。,被厚厚的脂肪保護著，能夠讓火屬性和冰屬性招式的傷害減半。,19,11
048,早起,はやおき,Early Bird,即使变为睡眠状态，也能以２倍的速度提早醒来。,即使陷入睡眠狀態，也能以２倍的速度提早醒來。,14,2
049,火焰之躯,ほのおのからだ,Flame Body,有时会让接触到自己的对手变为灼伤状态。,有時會讓接觸到自己的對手陷入灼傷狀態。,14,7
050,逃跑,にげあし,Run Away,一定能从野生宝可梦那儿逃走。,一定能從野生寶可夢那裡逃走。,25,8
051,锐利目光,するどいめ,Keen Eye,多亏了锐利的目光，命中率不会被降低。,靠著銳利的目光，命中率不會被降低。,37,5
052,怪力钳,かいりきバサミ,Hyper Cutter,因为拥有以力量自豪的钳子，不会被对手降低攻击。,因為擁有以力量為傲的鉗子，不會被對手降低攻擊。,11,0
053,捡拾,ものひろい,Pickup,有时会捡来对手用过的道具，冒险过程中也会捡到。,有時會撿來對手用過的道具。冒險過程中也會撿來。,19,2
054,懒惰,なまけ,Truant,如果使出招式，下一回合就会休息。,如果使出招式，下一回合就需要休息。,2,1
055,活力,はりきり,Hustle,自己的攻击变高，但命中率会降低。,自己的攻擊雖會變高，但命中率會降低。,16,9
056,迷人之躯,メロメロボディ,Cute Charm,有时会让接触到自己的对手着迷。,有時會讓接觸到自己的對手陷入著迷狀態。,13,2
057,正电,プラス,Plus,出场的伙伴之间如果有正电或负电特性的宝可梦，自己的特攻会提高。,場上的夥伴之中，如果有正電或負電特性的寶可夢，自己的特攻會提高。,5,4
058,负电,マイナス,Minus,出场的伙伴之间如果有正电或负电特性的宝可梦，自己的特攻会提高。,場上的夥伴之中，如果有正電或負電特性的寶可夢，自己的特攻會提高。,5,2
059,阴晴不定,てんきや,Forecast,受天气的影响，会变为水属性、火属性或冰属性中的某一个。,在天氣的影響下，會變成水屬性、火屬性或冰屬性之中的一種。,1,0
060,黏着,ねんちゃく,Sticky Hold,因为道具是粘在黏性身体上的，所以不会被对手夺走。,道具會黏在具有黏性的身體上，不會被對手奪走。,8,2
061,蜕皮,だっぴ,Shed Skin,通过蜕去身上的皮，有时会治愈异常状态。,透過蛻去身上的皮，有時會治癒異常狀態。,19,1
062,毅力,こんじょう,Guts,如果变为异常状态，会拿出毅力，攻击会提高。,陷入異常狀態時，會拿出毅力，攻擊會提高。,19,5
063,神奇鳞片,ふしぎなうろこ,Marvel Scale,如果变为异常状态，神奇鳞片会发生反应，防御会提高。,陷入異常狀態時，神奇鱗片會發生反應，防禦會提高。,1,2
064,污泥浆,ヘドロえき,Liquid Ooze,吸收了污泥浆的对手会因强烈的恶臭而受到伤害，减少ＨＰ。,吸收了污泥漿的對手會因為強烈的惡臭而使得ＨＰ減少。,4,0
065,茂盛,しんりょく,Overgrow,ＨＰ减少的时候，草属性的招式威力会提高。,ＨＰ減少的時候，草屬性的招式威力會提高。,28,2
066,猛火,もうか,Blaze,ＨＰ减少的时候，火属性的招式威力会提高。,ＨＰ減少的時候，火屬性的招式威力會提高。,28,2
067,激流,げきりゅう,Torrent,ＨＰ减少的时候，水属性的招式威力会提高。,ＨＰ減少的時候，水屬性的招式威力會提高。,28,2
068,虫之预感,むしのしらせ,Swarm,ＨＰ减少的时候，虫属性的招式威力会提高。,ＨＰ減少的時候，蟲屬性的招式威力會提高。,27,4
069,坚硬脑袋,いしあたま,Rock Head,即使使出会受反作用力伤害的招式，ＨＰ也不会减少。,即使使出會受反作用力傷害的招式，ＨＰ也不會減少。,19,4
070,日照,ひでり,Drought,出场时，会将天气变为晴朗。,出場時，會將天氣變為晴朗。,3,2
071,沙穴,ありじごく,Arena Trap,在战斗中让对手无法逃走。,在戰鬥中讓對手無法逃走。,3,0
072,干劲,やるき,Vital Spirit,通过激发出干劲，不会变为睡眠状态。,透過激發出幹勁，不會陷入睡眠狀態。,9,7
073,白色烟雾,しろいけむり,White Smoke,被白色烟雾保护着，不会被对手降低能力。,被白色煙霧保護著，不會被對手降低能力。,3,1
074,瑜伽之力,ヨガパワー,Pure Power,因瑜伽的力量，物理攻击的威力会变为２倍。,因瑜伽的力量，物理攻擊的威力會變為２倍。,3,0
075,硬壳盔甲,シェルアーマー,Shell Armor,被坚硬的壳保护着，对手的攻击不会击中要害。,被堅硬的殼保護著，對手的攻擊不會擊中要害。,21,7
077,蹒跚,ちどりあし,Tangled Feet,在混乱状态时，闪避率会提高。,陷入混亂狀態時，閃避率會提高。,7,2
078,电气引擎,でんきエンジン,Motor Drive,受到电属性的招式攻击时，不会受到伤害，而是速度会提高。,受到電屬性的招式攻擊時，不但不會受到傷害，反而速度會提高。,3,1
079,斗争心,とうそうしん,Rivalry,面对性别相同的对手，会燃起斗争心，变得更强。而面对性别不同的，则会变弱。,面對性別相同的對手，會燃起鬥爭心，變得更強。面對性別不同的對手時則會變弱。,14,4
080,不屈之心,ふくつのこころ,Steadfast,每次畏缩时，不屈之心就会燃起，速度也会提高。,每次畏縮時，不屈之心就會燃起，速度也會提高。,8,7
081,雪隐,ゆきがくれ,Snow Cloak,下雪天气时，闪避率会提高。,天氣為下雪時，閃避率會提高。,14,1
082,贪吃鬼,くいしんぼう,Gluttony,原本ＨＰ变得很少时才会吃树果，在ＨＰ还有一半时就会把它吃掉。,原本ＨＰ變得很少時才會吃的樹果，在ＨＰ還有一半時就會把它吃掉。,22,11
083,愤怒穴位,いかりのつぼ,Anger Point,要害被击中时，会大发雷霆，攻击力变为最大。,要害被擊中時會大發雷霆。攻擊力會提高到最大。,4,6
084,轻装,かるわざ,Unburden,失去所持有的道具时，速度会提高。,失去所持有的道具時，速度會提高。,10,7
085,耐热,たいねつ,Heatproof,耐热的体质会让火属性的招式伤害减半。,靠著耐熱的體質，讓火屬性的招式傷害減半。,3,2
086,单纯,たんじゅん,Simple,能力变化会变为平时的２倍。,能力變化會變為平時的２倍。,3,2
087,干燥皮肤,かんそうはだ,Dry Skin,下雨天气时和受到水属性的招式时，ＨＰ会回复。晴朗天气时和受到火属性的招式时，ＨＰ会减少。,下雨天氣時和受到水屬性的招式攻擊時，ＨＰ會回復。晴朗天氣時和受到火屬性的招式攻擊時，ＨＰ會減少。,6,1
088,下载,ダウンロード,Download,比较对手的防御和特防，根据较低的那项能力相应地提高自己的攻击或特攻。,比較對手的防禦和特防，根據較低的那項能力相應地提高自己的攻擊或特攻。,4,0
089,铁拳,てつのこぶし,Iron Fist,使用拳类招式的威力会提高。,使用到拳頭的招式威力會提高。,8,10
090,毒疗,ポイズンヒール,Poison Heal,变为中毒状态时，ＨＰ不会减少，反而会增加起来。,陷入中毒狀態時，ＨＰ不會減少，反而會漸漸增加。,2,1
091,适应力,てきおうりょく,Adaptability,与自身同属性的招式威力会提高。,與自身同屬性的招式威力會提高。,8,7
092,连续攻击,スキルリンク,Skill Link,如果使用连续招式，总是能使出最高次数。,使用連續招式時，每回都能以最多次數進行攻擊。,6,4
093,湿润之躯,うるおいボディ,Hydration,下雨天气时，异常状态会治愈。,天氣為下雨時，會治癒異常狀態。,13,9
094,太阳之力,サンパワー,Solar Power,晴朗天气时，特攻会提高，而每回合ＨＰ会减少。,天氣為晴朗時特攻會提高，但每回合ＨＰ會減少。,4,5
095,飞毛腿,はやあし,Quick Feet,变为异常状态时，速度会提高。,陷入異常狀態時，速度會提高。,5,4
096,一般皮肤,ノーマルスキン,Normalize,无论是什么属性的招式，全部会变为一般属性。威力会少量提高。,無論是什麼屬性的招式，全部都會變為一般屬性。威力會少量提高。,2,0
097,狙击手,スナイパー,Sniper,击中要害时，威力会变得更强。,擊中要害時，威力會進一步提高。,9,8
098,魔法防守,マジックガード,Magic Guard,不会受到攻击以外的伤害。,不會受到攻擊以外的傷害。,7,3
099,无防守,ノーガード,No Guard,由于无防守战术，双方使出的招式都必定会击中。,由於無防守戰術，雙方使出的招式都必定會擊中。,6,5
100,慢出,あとだし,Stall,使出招式的顺序必定会变为最后。,使出招式的順序必定會變為最後。,1,0
101,技术高手,テクニシャン,Technician,攻击时可以将低威力招式的威力提高。,可讓威力低的招式提高威力來進行攻擊。,13,11
102,叶子防守,リーフガード,Leaf Guard,晴朗天气时，不会变为异常状态。,天氣為晴朗時，不會陷入異常狀態。,13,8
103,笨拙,ぶきよう,Klutz,无法使用持有的道具。,無法使用持有的道具。,8,4
104,破格,かたやぶり,Mold Breaker,可以不受对手特性的干扰，向对手使出招式。,可不受特性影響，向對手使出招式。,15,10
105,超幸运,きょううん,Super Luck,因为拥有超幸运，攻击容易击中对手的要害。,因為非常幸運，容易擊中對手的要害。,6,3
106,引爆,ゆうばく,Aftermath,变为濒死时，会对接触到自己的对手造成伤害。,瀕死時，會對接觸到自己的對手造成傷害。,4,4
107,危险预知,きけんよち,Anticipation,可以察觉到对手拥有的危险招式。,察覺對手持有的危險招式。,9,4
108,预知梦,よちむ,Forewarn,出场时，只读取１个对手拥有的招式。,出場時，預見１個對手持有的招式。,6,0
109,纯朴,てんねん,Unaware,可以无视对手能力的变化，进行攻击。,可無視對手能力的變化，進行攻擊。,6,9
110,有色眼镜,いろめがね,Tinted Lens,可以将效果不好的招式以通常的威力使出。,可將效果不好的招式以正常的威力使出。,4,8
111,过滤,フィルター,Filter,受到效果绝佳的攻击时，可以减弱其威力。,受到效果絕佳的攻擊時，可減弱其威力。,3,1
112,慢启动,スロースタート,Slow Start,在５回合内，攻击和速度减半。,在５回合內，攻擊和速度會減半。,1,1
113,胆量,きもったま,Scrappy,一般属性和格斗属性的招式可以击中幽灵属性的宝可梦。对威吓也毫不动摇。,一般屬性和格鬥屬性的招式可擊中幽靈屬性的寶可夢。面對威嚇也不會動搖。,4,11
114,引水,よびみず,Storm Drain,将水属性的招式引到自己身上，不会受到伤害，而是会提高特攻。,將水屬性的招式引到自己身上，不但不會受到傷害，反而會提高特攻。,4,4
115,冰冻之躯,アイスボディ,Ice Body,下雪天气时，会缓缓回复ＨＰ。,天氣為下雪時，會漸漸回復ＨＰ。,12,9
116,坚硬岩石,ハードロック,Solid Rock,受到效果绝佳的攻击时，可以减弱其威力。,受到效果絕佳的攻擊時，可減弱其威力。,4,0
117,降雪,ゆきふらし,Snow Warning,出场时，会将天气变为下雪。,出場時，會將天氣變為下雪。,4,4
118,采蜜,みつあつめ,Honey Gather,战斗结束时，有时候会捡来甜甜蜜。,戰鬥結束時，有時候會撿來甜甜蜜。,3,1
119,察觉,おみとおし,Frisk,出场时，可以察觉对手的持有物。,出場時，可以察覺對手的持有物。,20,10
120,舍身,すてみ,Reckless,自己会因反作用力受伤的招式，其威力会提高。,會讓自己因反作用力而受傷的招式威力會提高。,4,9
121,多属性,マルチタイプ,Multitype,自己的属性会根据持有的石板而改变。,自己的屬性會依持有的石板而改變。,1,0
122,花之礼,フラワーギフト,Flower Gift,晴朗天气时，自己与同伴的攻击和特防能力会提高。,天氣為晴朗時，自己和同伴的攻擊和特防能力會提高。,1,0
123,梦魇,ナイトメア,Bad Dreams,给予睡眠状态的对手伤害。,給予陷入睡眠狀態的對手傷害。,1,0
124,顺手牵羊,わるいてぐせ,Pickpocket,盗取接触到自己的对手的道具。,盜取接觸到自己的對手的道具。,1,13
125,强行,ちからずく,Sheer Force,招式的追加效果消失，但因此能以更高的威力使出招式。,招式會失去追加效果，但可以用更高的威力使出招式。,12,21
126,唱反调,あまのじゃく,Contrary,能力的变化发生逆转，原本提高时会降低，而原本降低时会提高。,能力的變化會逆轉，原本提高時會降低，原本降低時會提高。,2,8
127,紧张感,きんちょうかん,Unnerve,让对手紧张，使其无法食用树果。,讓對手感到緊張，無法吃樹果。,8,18
128,不服输,まけんき,Defiant,被对手降低能力时，攻击会大幅提高。,被對手降低能力時，攻擊會大幅提高。,5,11
129,软弱,よわき,Defeatist,ＨＰ减半时，会变得软弱，攻击和特攻会减半。,ＨＰ降到一半以下時，會變得軟弱而使得攻擊和特攻減半。,2,0
130,诅咒之躯,のろわれボディ,Cursed Body,受到攻击时，有时会把对手的招式变为定身法状态。,受到攻擊時，有時會把對手的招式變為定身法狀態。,4,9
131,治愈之心,いやしのこころ,Healer,有时会治愈异常状态的同伴。,有時會治癒同伴的異常狀態。,8,3
132,友情防守,フレンドガード,Friend Guard,可以减少我方的伤害。,可以減少我方受到的傷害。,1,8
133,碎裂铠甲,くだけるよろい,Weak Armor,受到物理招式的伤害时，防御会降低，速度会大幅提高。,因物理招式受到傷害時，防禦會降低，速度會大幅提高。,7,17
134,重金属,ヘヴィメタル,Heavy Metal,自身的重量会变为２倍。,自己的重量會變為２倍。,1,7
135,轻金属,ライトメタル,Light Metal,自身的重量会减半。,自己的重量會減半。,1,5
136,多重鳞片,マルチスケイル,Multiscale,ＨＰ全满时，受到的伤害会变少。,ＨＰ全滿時，受到的傷害會變少。,0,2
137,中毒激升,どくぼうそう,Toxic Boost,变为中毒状态时，物理招式的威力会提高。,陷入中毒狀態時，物理招式的威力會提高。,0,1
138,受热激升,ねつぼうそう,Flare Boost,变为灼伤状态时，特殊招式的威力会提高。,陷入灼傷狀態時，特殊招式的威力會提高。,0,2
139,收获,しゅうかく,Harvest,可以多次制作出已被使用掉的树果。,可多次採收已被使用過的樹果。,0,9
140,心灵感应,テレパシー,Telepathy,读取我方的攻击，并闪避其招式伤害。,預測我方的攻擊，並閃避其招式。,3,22
141,心情不定,ムラっけ,Moody,每一回合，能力中的某项会大幅提高，而某项会降低。,每一回合，能力中的某項會大幅提高，相對地某項會降低。,0,8
142,防尘,ぼうじん,Overcoat,不会受到沙暴的伤害。也不会受到粉末类和孢子类招式的影响。,不會受到沙暴的傷害。也不會受到粉末或孢子的影響。,8,15
143,毒手,どくしゅ,Poison Touch,只通过接触就有可能让对手变为中毒状态。,有時僅是接觸就能讓對手中毒。,6,5
144,再生力,さいせいりょく,Regenerator,退回同行队伍后，ＨＰ会少量回复。,退回同行隊伍後，ＨＰ會少量回復。,7,20
145,健壮胸肌,はとむね,Big Pecks,不会受到防御降低的效果。,不會受到降低防禦的效果影響。,9,6
146,拨沙,すなかき,Sand Rush,沙暴天气时，速度会提高。,天氣為沙暴時，速度會提高。,6,4
147,奇迹皮肤,ミラクルスキン,Wonder Skin,成为不易受到变化招式攻击的身体。,不易受到變化類招式攻擊的身體。,1,4
148,分析,アナライズ,Analytic,如果在最后使出招式，招式的威力会提高。,如果在最後使出招式，招式的威力就會變強。,0,12
149,幻觉,イリュージョン,Illusion,假扮成同行队伍中的最后一只宝可梦出场，迷惑对手。,假扮成同行隊伍中的最後一隻寶可夢出場，迷惑對手。,2,0
150,变身者,かわりもの,Imposter,变身为当前面对的宝可梦。,變身為當前面對的寶可夢。,0,1
151,穿透,すりぬけ,Infiltrator,可以穿透对手的壁障或替身进行攻击。,可穿透對手的屏障或替身進行攻擊。,10,16
152,木乃伊,ミイラ,Mummy,被对手接触到后，会将对手变为木乃伊。,被對手接觸到時，會將對手變成木乃伊。,2,0
153,自信过度,じしんかじょう,Moxie,如果打倒对手，就会充满自信，攻击会提高。,如果打倒對手，會充滿自信並提高攻擊。,5,11
154,正义之心,せいぎのこころ,Justified,受到恶属性的招式攻击时，因为正义感，攻击会提高。,受到惡屬性的招式攻擊時，因為正義感，攻擊會提高。,4,5
155,胆怯,びびり,Rattled,受到恶属性、幽灵属性和虫属性的攻击或威吓时，会因胆怯而速度提高。,受到惡屬性、幽靈屬性和蟲屬性的招式攻擊，或受到威嚇時，會因膽怯而使得速度提高。,5,15
156,魔法镜,マジックミラー,Magic Bounce,可以不受到由对手使出的变化招式影响，并将其反弹。,可不受到由對手使出的變化類招式所影響，並將其反彈。,3,6
157,食草,そうしょく,Sap Sipper,受到草属性的招式攻击时，不会受到伤害，而是攻击会提高。,受到草屬性的招式攻擊時，不但不會受到傷害，反而攻擊會提高。,11,10
158,恶作剧之心,いたずらごころ,Prankster,可以率先使出变化招式。,可以搶先使出變化類招式。,9,10
159,沙之力,すなのちから,Sand Force,沙暴天气时，岩石属性、地面属性和钢属性的招式威力会提高。,天氣為沙暴時，岩石屬性、地面屬性和鋼屬性招式的威力會提高。,5,13
160,铁刺,てつのトゲ,Iron Barbs,用铁刺给予接触到自己的对手伤害。,用鐵刺給予接觸到自己的對手傷害。,3,0
161,达摩模式,ダルマモード,Zen Mode,ＨＰ变为一半以下时，样子会改变。,ＨＰ變為一半以下時，樣子會改變。,0,2
162,胜利之星,しょうりのほし,Victory Star,自己和同伴的命中率会提高。,自己和同伴的命中率會提高。,1,0
163,涡轮火焰,ターボブレイズ,Turboblaze,可以不受对手特性的干扰，向对手使出招式。,可以不受對手特性的干擾，向對手使出招式。,2,0
164,兆级电压,テラボルテージ,Teravolt,可以不受对手特性的干扰，向对手使出招式。,可以不受對手特性的干擾，向對手使出招式。,2,0
165,芳香幕,アロマベール,Aroma Veil,可以防住向自己和同伴发出的心灵攻击。,可防住向自己和同伴發出的心靈攻擊。,2,5
166,花幕,フラワーベール,Flower Veil,我方的草属性宝可梦能力不会降低，也不会变为异常状态。,我方的草屬性寶可夢能力不會降低。也不會陷入異常狀態。,4,0
167,颊囊,ほおぶくろ,Cheek Pouch,无论是哪种树果，食用后，ＨＰ都会回复。,無論是哪種樹果，吃下去後ＨＰ都會回復。,6,0
168,变幻自如,へんげんじざい,Protean,变为与自己使出的招式相同的属性。每次出场战斗仅生效一次。,每次出場戰鬥時，變為與自己使出的招式相同的屬性１次。,0,7
169,毛皮大衣,ファーコート,Fur Coat,对手给予的物理招式的伤害会减半。,對手的物理招式造成的傷害會減半。,2,0
170,魔术师,マジシャン,Magician,夺走被自己的招式击中的对手的道具。,奪走被自己招式擊中的對手的道具。,1,4
171,防弹,ぼうだん,Bulletproof,可以防住对手的球和弹类招式。,可防住對手的球和彈類的招式。,4,6
172,好胜,かちき,Competitive,如果被对手降低能力，特攻会大幅提高。,被對手降低能力時，特攻會大幅提高。,8,7
173,强壮之颚,がんじょうあご,Strong Jaw,因为颚部强壮，啃咬类招式的威力会提高。,顎部強壯，會提高啃咬類招式的威力。,11,0
174,冰冻皮肤,フリーズスキン,Refrigerate,一般属性的招式会变为冰属性。威力会少量提高。,一般屬性的招式會變為冰屬性。威力會少量提高。,3,0
175,甜幕,スイートベール,Sweet Veil,自己和同伴的宝可梦不会变为睡眠状态。,自己和我方的寶可夢不會陷入睡眠狀態。,4,5
176,战斗切换,バトルスイッチ,Stance Change,如果使出攻击招式，会变为刀剑形态，如果使出招式“王者盾牌”，会变为盾牌形态。,若使出攻擊招式，會變為刀劍形態，若使出招式「王者盾牌」，會變為盾牌形態。,1,0
177,疾风之翼,はやてのつばさ,Gale Wings,ＨＰ全满时，飞行属性的招式可以率先使出。,ＨＰ全滿時，可以搶先在對手之前使出飛行屬性的招式。,0,3
178,超级发射器,メガランチャー,Mega Launcher,波动和波导类招式的威力会提高。,波動和波導類招式的威力會提高。,3,0
179,草之毛皮,くさのけがわ,Grass Pelt,在青草场地时，防御会提高。,在青草場地時，防禦會提高。,0,2
180,共生,きょうせい,Symbiosis,同伴使用道具时，会把自己持有的道具传递给同伴。,同伴使用道具時，會把自己持有的道具交給同伴。,0,4
181,硬爪,かたいツメ,Tough Claws,接触到对手的招式威力会提高。,接觸到對手的招式威力會提高。,8,0
182,妖精皮肤,フェアリースキン,Pixilate,一般属性的招式会变为妖精属性。威力会少量提高。,一般屬性的招式會變為妖精屬性。威力會少量提高。,2,1
183,黏滑,ぬめぬめ,Gooey,对于用攻击接触到自己的对手，会降低其速度。,對手用攻擊接觸到自己時，降低此對手的速度。,2,5
184,飞行皮肤,スカイスキン,Aerilate,一般属性的招式会变为飞行属性。威力会少量提高。,一般屬性的招式會變為飛行屬性。威力會少量提高。,2,0
185,亲子爱,おやこあい,Parental Bond,亲子俩可以合计攻击２次。,親子倆可合計攻擊２次。,1,0
186,暗黑气场,ダークオーラ,Dark Aura,全体的恶属性招式变强。,全體的惡屬性招式變強。,1,0
187,妖精气场,フェアリーオーラ,Fairy Aura,全体的妖精属性招式变强。,全體的妖精屬性招式變強。,1,0
188,气场破坏,オーラブレイク,Aura Break,让气场的效果发生逆转，降低威力。,讓氣場的效果逆轉，並降低威力。,1,0
189,始源之海,はじまりのうみ,Primordial Sea,变为不会受到火属性攻击的天气。,變為讓火屬性攻擊失效的天氣。,1,0
190,终结之地,おわりのだいち,Desolate Land,变为不会受到水属性攻击的天气。,變為讓水屬性攻擊失效的天氣。,1,0
191,德尔塔气流,デルタストリーム,Delta Stream,变为令飞行属性的弱点消失的天气。,變為令飛行屬性的弱點消失的天氣。,1,0
192,持久力,じきゅうりょく,Stamina,受到攻击时，防御会提高。,受到攻擊時，防禦會提高。,3,0
